label,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13
asli,-373.1335143333333,147.8295875,22.651561833333332,22.928208166666668,16.0106425,-8.594076833333334,0.5750834999999999,3.791248833333333,-5.173674666666667,-7.344770666666666,-3.4023368333333335,-1.062387,-5.9193878333333325
cloning,-357.7412361666666,142.67339583333333,12.514819500000002,28.065920333333334,-0.39463166666666655,-9.027078833333334,2.980084666666667,-5.5682455,-9.9445815,-4.7783815,-1.4094535,-9.311608833333333,-8.601149833333332
unknown,-341.602112,138.669785,40.117451,20.505295,-27.239815,-29.113453,-0.655747,2.415558,-9.359984,-8.285439,-3.431454,-9.017187,-4.151529
