Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone,Mean_Diff,Std_Diff
MFCC_1,-395.4873,67.6089,-399.15567,91.72707,3.668366,24.118172
MFCC_2,161.06224,53.631184,135.89244,69.6236,25.1698,15.99242
MFCC_3,43.225147,32.658928,27.488997,33.188435,15.736151,0.529507
MFCC_4,22.380358,27.7558,18.562551,30.27383,3.817806,2.51803
MFCC_5,13.090371,23.76988,-1.49082,19.918266,14.58119,3.851614
MFCC_6,-7.231502,17.995972,-6.112087,19.08552,1.119414,1.089548
MFCC_7,4.698056,18.751898,7.606326,13.493086,2.90827,5.258812
MFCC_8,9.634882,11.955809,-7.488738,15.686651,17.12362,3.730842
MFCC_9,-7.571434,14.350461,-9.901459,15.971422,2.330025,1.620961
MFCC_10,-5.637992,13.291597,7.269726,12.627252,12.907717,0.664346
MFCC_11,8.30729,12.042892,2.868056,11.766471,5.439234,0.276422
MFCC_12,4.339168,11.059058,-11.087473,9.913689,15.426641,1.14537
MFCC_13,-6.974112,8.836888,-11.84877,9.765131,4.874658,0.928243
