Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone,Mean_Diff,Std_Diff
MFCC_1,-379.69696,84.46795,-357.1816,83.13082,22.51535,1.337128
MFCC_2,129.83295,62.027184,130.32327,50.89027,0.490326,11.136913
MFCC_3,-0.417888,36.71076,-6.946092,43.564896,6.528204,6.854138
MFCC_4,9.470178,28.102716,25.363743,32.638138,15.893565,4.535422
MFCC_5,24.676065,27.503647,13.348672,25.146679,11.327394,2.356968
MFCC_6,-8.445224,17.60291,-22.501238,23.875992,14.056014,6.273081
MFCC_7,-10.58623,19.940636,0.969734,18.732166,11.555964,1.208469
MFCC_8,6.444414,14.704051,3.726329,14.378811,2.718085,0.32524
MFCC_9,-1.745831,11.1966,-20.09556,16.085056,18.34973,4.888456
MFCC_10,-14.594882,14.188547,-12.484208,13.570844,2.110674,0.617703
MFCC_11,-7.917699,11.855824,-1.877964,11.699717,6.039735,0.156108
MFCC_12,-1.658072,11.523653,-16.374908,11.091719,14.716836,0.431934
MFCC_13,-10.542358,8.99819,-17.097,10.905272,6.554642,1.907082
