Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone,Mean_Diff,Std_Diff
MFCC_1,-350.79556,58.591434,-347.3181,87.925354,3.477448,29.33392
MFCC_2,144.45157,42.908325,165.62096,55.44022,21.169388,12.531895
MFCC_3,33.738632,36.40673,2.318385,35.73653,31.420246,0.6702
MFCC_4,27.73887,30.599598,20.824537,28.515766,6.914334,2.083832
MFCC_5,2.392188,24.334805,6.888488,22.533926,4.4963,1.800878
MFCC_6,-26.875694,18.148342,-16.890533,18.686256,9.985161,0.537914
MFCC_7,-12.169853,17.454441,-10.799501,12.871677,1.370352,4.582764
MFCC_8,0.321457,13.041296,-9.620542,12.727216,9.941999,0.31408
MFCC_9,-2.794511,10.799228,-13.830542,12.425621,11.03603,1.626393
MFCC_10,-9.626202,11.401048,-11.373263,11.167924,1.747062,0.233124
MFCC_11,-6.23378,11.13381,-4.048286,10.155949,2.185494,0.977861
MFCC_12,-1.682659,9.716069,-9.18056,9.146708,7.497902,0.569361
MFCC_13,-8.072102,8.52105,-8.53059,7.462928,0.458488,1.058123
