Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone,Mean_Diff,Std_Diff
MFCC_1,-372.2946,79.86638,-337.48038,87.82761,34.81421,7.961228
MFCC_2,125.41881,51.167034,113.39787,46.178493,12.020935,4.98854
MFCC_3,14.202071,31.221067,11.067204,32.131313,3.134867,0.910246
MFCC_4,47.313087,29.466627,51.25775,31.771118,3.944664,2.304491
MFCC_5,17.87332,21.915401,-14.045162,25.514425,31.918482,3.599024
MFCC_6,-17.489595,21.94635,-4.640587,16.880981,12.849009,5.065368
MFCC_7,12.966413,15.329668,16.196135,15.472735,3.229721,0.143067
MFCC_8,10.533049,13.386814,-12.685299,12.7079,23.218348,0.678914
MFCC_9,-8.837405,13.810117,-10.34889,11.086865,1.511485,2.723251
MFCC_10,-7.93846,11.728109,-8.3022,10.654354,0.363739,1.073755
MFCC_11,-7.186854,10.285591,-7.72081,9.176016,0.533956,1.109575
MFCC_12,-5.51104,10.610721,-6.230332,8.168882,0.719293,2.441839
MFCC_13,-4.175426,8.885715,-9.415096,9.414423,5.239671,0.528708
