Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone
MFCC_1,-379.69696,84.46795,-357.18158,83.13082
MFCC_2,129.83295,62.027184,130.32327,50.89027
MFCC_3,-0.41788813,36.71076,-6.9460917,43.564896
MFCC_4,9.470179,28.102716,25.363743,32.638138
MFCC_5,24.676065,27.503647,13.348672,25.146679
MFCC_6,-8.445224,17.602911,-22.50124,23.875992
MFCC_7,-10.58623,19.940636,0.9697337,18.732166
MFCC_8,6.444414,14.704051,3.7263293,14.378811
MFCC_9,-1.7458314,11.1966,-20.09556,16.085056
MFCC_10,-14.594882,14.188547,-12.484208,13.570844
MFCC_11,-7.917699,11.855824,-1.8779637,11.699717
MFCC_12,-1.6580719,11.523653,-16.374908,11.091719
MFCC_13,-10.542358,8.99819,-17.097,10.905272
