Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone
MFCC_1,-350.7956,58.591434,-347.3181,87.925354
MFCC_2,144.45157,42.908325,165.62096,55.44022
MFCC_3,33.738632,36.40673,2.3183851,35.73653
MFCC_4,27.73887,30.599598,20.824537,28.515766
MFCC_5,2.3921876,24.334805,6.8884873,22.533926
MFCC_6,-26.875694,18.148342,-16.890533,18.686256
MFCC_7,-12.169853,17.454441,-10.799501,12.871677
MFCC_8,0.32145736,13.041296,-9.620542,12.727215
MFCC_9,-2.7945116,10.799228,-13.830542,12.425621
MFCC_10,-9.626202,11.401048,-11.373263,11.167924
MFCC_11,-6.23378,11.13381,-4.0482855,10.15595
MFCC_12,-1.6826586,9.716069,-9.18056,9.1467085
MFCC_13,-8.072102,8.52105,-8.53059,7.462928
