Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone
MFCC_1,-357.60928,74.95561,-363.22726,84.478195
MFCC_2,151.84326,55.608143,136.78815,54.322445
MFCC_3,21.927841,32.3376,21.96696,31.686087
MFCC_4,12.872184,25.353853,27.479761,32.4567
MFCC_5,19.237846,24.749268,-20.501097,22.691973
MFCC_6,-3.469246,17.143084,-25.415443,19.615917
MFCC_7,-8.4013,17.974913,-5.6705403,13.457546
MFCC_8,-4.403621,12.649302,-0.69309616,10.099088
MFCC_9,-6.600356,12.825089,-8.975742,10.776316
MFCC_10,-9.901719,11.987928,-6.3659415,10.530472
MFCC_11,-9.109436,12.154446,-1.6646973,8.81472
MFCC_12,-5.3764796,10.278979,-10.969808,9.026299
MFCC_13,-5.9761996,8.29449,-4.692999,9.506874
