pair,file_asli,file_clone,mean_gap_abs,std_gap_abs,durasi_asli,durasi_clone,sr_asli,sr_clone
asli1__clone1,dataset\asli1.wav,dataset\clone1.wav,9.623298645019531,4.748021602630615,10.3535,10.946375,48000,32000
asli2__clone2,dataset\asli2.wav,dataset\clone2.wav,9.513742446899414,3.036259174346924,11.3135,10.3194375,48000,32000
asli3__clone3,dataset\asli3.wav,dataset\clone3.wav,8.592325210571289,4.332334041595459,10.9135,10.3078125,48000,32000
asli4__clone4,dataset\asli4.wav,dataset\clone4.wav,10.269105911254883,2.5790774822235107,11.677833333333334,10.447125,48000,32000
asli5__clone5,dataset\asli5.wav,dataset\clone5.wav,10.219733238220215,3.2329726219177246,11.797833333333333,10.67934375,48000,32000
asli_cowo__clone_cowo,dataset\asli_cowo.wav,dataset\clone_cowo.wav,7.496171951293945,2.166916847229004,10.5935,10.075625,48000,32000
