Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone
MFCC_1,-372.2946,79.86638,-337.48038,87.82761
MFCC_2,125.41881,51.167034,113.39787,46.178493
MFCC_3,14.202071,31.221067,11.067205,32.131313
MFCC_4,47.313087,29.466627,51.25775,31.771118
MFCC_5,17.87332,21.915401,-14.045162,25.514425
MFCC_6,-17.489595,21.94635,-4.640587,16.880981
MFCC_7,12.9664135,15.329668,16.196135,15.472735
MFCC_8,10.533049,13.386814,-12.685299,12.7079
MFCC_9,-8.837405,13.810117,-10.34889,11.086866
MFCC_10,-7.9384604,11.728109,-8.302199,10.654354
MFCC_11,-7.186853,10.28559,-7.72081,9.176016
MFCC_12,-5.5110397,10.610721,-6.230332,8.168881
MFCC_13,-4.175425,8.885715,-9.415095,9.414422
